zipcode,city,metro,state,date,longitude,latitude,median_sale_price,median_list_price,homes_sold,pending_sales,new_listings,inventory,median_dom,avg_sale_to_list,Total Population,price
20004,Washington,DC_Metro,District of Columbia,2012-03-31,-77.0263,38.893,460000.0,499499.5,11.0,12.0,22.0,15.0,33.5,0.9850533510946632,1569.0,449492.32357763936
20004,Washington,DC_Metro,District of Columbia,2012-04-30,-77.0263,38.893,449000.0,479900.0,13.0,13.0,19.0,14.0,22.5,0.9877275806374306,1569.0,447449.082535722
20004,Washington,DC_Metro,District of Columbia,2012-05-31,-77.0263,38.893,446000.0,514500.0,16.0,16.0,26.0,15.0,27.0,0.9833744607532486,1569.0,445931.0002669844
20004,Washington,DC_Metro,District of Columbia,2012-06-30,-77.0263,38.893,410000.0,529000.0,11.0,14.0,26.0,17.0,29.5,0.9819149026490728,1569.0,445296.678395246
20004,Washington,DC_Metro,District of Columbia,2012-07-31,-77.0263,38.893,440000.0,564000.0,15.0,19.0,28.0,15.0,31.5,0.9857317861094652,1569.0,445348.3990558398
20004,Washington,DC_Metro,District of Columbia,2012-08-31,-77.0263,38.893,464500.0,504900.0,21.0,24.0,21.0,10.0,30.0,0.98484262594341,1569.0,446212.430457128
20004,Washington,DC_Metro,District of Columbia,2012-09-30,-77.0263,38.893,464500.0,427499.5,25.0,22.0,14.0,10.0,26.0,0.9799222138480724,1569.0,447913.0334264985
20004,Washington,DC_Metro,District of Columbia,2012-10-31,-77.0263,38.893,430000.0,425999.0,19.0,16.0,15.0,13.0,26.0,0.973829591241796,1569.0,450918.33215550025
20004,Washington,DC_Metro,District of Columbia,2012-11-30,-77.0263,38.893,385000.0,422999.5,15.0,10.0,18.0,12.0,24.0,0.9779976305058632,1569.0,455628.11766384257
20004,Washington,DC_Metro,District of Columbia,2012-12-31,-77.0263,38.893,386300.0,454950.0,8.0,8.0,16.0,8.0,23.0,0.9805993478272512,1569.0,460077.0105020826
20004,Washington,DC_Metro,District of Columbia,2013-01-31,-77.0263,38.893,387600.0,429900.0,9.0,11.0,13.0,5.0,57.0,0.9745002491347958,1589.0,463638.2066946086
20004,Washington,DC_Metro,District of Columbia,2013-02-28,-77.0263,38.893,431000.0,569900.0,8.0,8.0,11.0,3.0,66.0,0.971565337591802,1589.0,466086.6924142472
20004,Washington,DC_Metro,District of Columbia,2013-03-31,-77.0263,38.893,500000.0,598000.0,10.0,10.0,11.0,1.0,43.0,0.976555281488846,1589.0,468400.4296321496
20004,Washington,DC_Metro,District of Columbia,2013-04-30,-77.0263,38.893,570000.0,593950.0,12.0,14.0,20.0,6.0,23.0,0.9702634166690522,1589.0,469980.8101201386
20004,Washington,DC_Metro,District of Columbia,2013-05-31,-77.0263,38.893,516500.0,437450.0,12.0,16.0,22.0,6.0,15.0,0.9793477117048416,1589.0,471008.28890004335
20004,Washington,DC_Metro,District of Columbia,2013-06-30,-77.0263,38.893,574000.0,444450.0,15.0,19.0,28.0,11.0,12.5,0.990092806257926,1589.0,472007.59001951496
20004,Washington,DC_Metro,District of Columbia,2013-07-31,-77.0263,38.893,450000.0,439900.0,19.0,24.0,21.0,8.0,10.0,0.9971050711305334,1589.0,473334.95953966136
20004,Washington,DC_Metro,District of Columbia,2013-08-31,-77.0263,38.893,449000.0,449475.0,23.0,25.0,22.0,8.0,19.0,0.9961336928655992,1589.0,475182.6261745095
20004,Washington,DC_Metro,District of Columbia,2013-09-30,-77.0263,38.893,440000.0,449950.0,23.0,23.0,17.0,10.0,25.0,0.9917401707459478,1589.0,478155.484502852
20004,Washington,DC_Metro,District of Columbia,2013-10-31,-77.0263,38.893,440000.0,449950.0,17.0,16.0,19.0,8.0,40.5,0.999403565195993,1589.0,481061.5673274024
20004,Washington,DC_Metro,District of Columbia,2013-11-30,-77.0263,38.893,469000.0,465000.0,12.0,13.0,15.0,6.0,16.5,0.9948274221215316,1589.0,483894.9348741793
20004,Washington,DC_Metro,District of Columbia,2013-12-31,-77.0263,38.893,467000.0,459000.0,13.0,10.0,13.0,8.0,11.5,0.9860603836060958,1589.0,486695.08286783687
20004,Washington,DC_Metro,District of Columbia,2014-01-31,-77.0263,38.893,467000.0,599999.0,11.0,9.0,9.0,8.0,17.0,0.9781006285874334,1531.0,489117.87190172495
20004,Washington,DC_Metro,District of Columbia,2014-02-28,-77.0263,38.893,442500.0,524450.0,10.0,9.0,14.0,11.0,51.0,0.97423219136375,1531.0,491987.844531211
20004,Washington,DC_Metro,District of Columbia,2014-03-31,-77.0263,38.893,535000.0,489000.0,7.0,8.0,18.0,15.0,69.0,0.9690674765547664,1531.0,493668.1038693764
20004,Washington,DC_Metro,District of Columbia,2014-04-30,-77.0263,38.893,490000.0,499000.0,8.0,14.0,27.0,15.0,13.0,0.9754667230110262,1531.0,496123.6653891246
20004,Washington,DC_Metro,District of Columbia,2014-05-31,-77.0263,38.893,451000.0,499000.0,19.0,24.0,32.0,13.0,15.0,0.9848932362655032,1531.0,496488.7177990617
20004,Washington,DC_Metro,District of Columbia,2014-06-30,-77.0263,38.893,449500.0,499900.0,24.0,25.0,37.0,17.0,15.0,0.9932531349605532,1531.0,496256.4059792624
20004,Washington,DC_Metro,District of Columbia,2014-07-31,-77.0263,38.893,451000.0,499999.0,29.0,30.0,33.0,19.0,15.0,0.99341287035861,1531.0,495415.7249421061
